Date,temperature,anomoly
1/1/2023 0:00,13.012,0.4931
1/1/2023 6:00,13.176,0.4161
1/1/2023 12:00,13.667,0.4537
1/1/2023 18:00,13.388,0.4175
1/2/2023 0:00,12.962,0.4487
1/2/2023 6:00,13.184,0.4317
1/2/2023 12:00,13.655,0.4493
1/2/2023 18:00,13.378,0.4142
1/3/2023 0:00,12.891,0.3847
1/3/2023 6:00,13.145,0.4012
1/3/2023 12:00,13.567,0.374
1/3/2023 18:00,13.279,0.3243
1/4/2023 0:00,12.815,0.3167
1/4/2023 6:00,12.992,0.2604
1/4/2023 12:00,13.45,0.2713
1/4/2023 18:00,13.259,0.3141
1/5/2023 0:00,12.751,0.2624
1/5/2023 6:00,12.973,0.2525
1/5/2023 12:00,13.385,0.2173
1/5/2023 18:00,13.236,0.2997
1/6/2023 0:00,12.803,0.3217
1/6/2023 6:00,12.935,0.2241
1/6/2023 12:00,13.417,0.2582
1/6/2023 18:00,13.179,0.2504
1/7/2023 0:00,12.722,0.2491
1/7/2023 6:00,12.997,0.2968
1/7/2023 12:00,13.443,0.2947
1/7/2023 18:00,13.176,0.256
1/8/2023 0:00,12.751,0.2862
1/8/2023 6:00,12.942,0.251
1/8/2023 12:00,13.359,0.219
1/8/2023 18:00,13.085,0.1718
1/9/2023 0:00,12.635,0.1797
1/9/2023 6:00,12.92,0.2396
1/9/2023 12:00,13.299,0.1664
1/9/2023 18:00,13.065,0.1616
1/10/2023 0:00,12.622,0.1761
1/10/2023 6:00,12.896,0.2268
1/10/2023 12:00,13.299,0.1759
1/10/2023 18:00,13.057,0.1598
1/11/2023 0:00,12.536,0.0979
1/11/2023 6:00,12.803,0.142
1/11/2023 12:00,13.226,0.1103
1/11/2023 18:00,12.998,0.1058
1/12/2023 0:00,12.586,0.1545
1/12/2023 6:00,12.807,0.1538
1/12/2023 12:00,13.202,0.0912
1/12/2023 18:00,12.928,0.0379
1/13/2023 0:00,12.538,0.1106
1/13/2023 6:00,12.651,0.0016
1/13/2023 12:00,13.188,0.0775
1/13/2023 18:00,12.923,0.0334
1/14/2023 0:00,12.385,-0.0422
1/14/2023 6:00,12.583,-0.0629
1/14/2023 12:00,13.148,0.0375
1/14/2023 18:00,12.888,-0.0032
1/15/2023 0:00,12.398,-0.0311
1/15/2023 6:00,12.62,-0.026
1/15/2023 12:00,13.147,0.0377
1/15/2023 18:00,12.938,0.0417
1/16/2023 0:00,12.5,0.0684
1/16/2023 6:00,12.742,0.0949
1/16/2023 12:00,13.244,0.1342
1/16/2023 18:00,13.016,0.1166
1/17/2023 0:00,12.565,0.1354
1/17/2023 6:00,12.797,0.1516
1/17/2023 12:00,13.303,0.1943
1/17/2023 18:00,13.086,0.1849
1/18/2023 0:00,12.603,0.1736
1/18/2023 6:00,12.812,0.1647
1/18/2023 12:00,13.288,0.1795
1/18/2023 18:00,13.014,0.1089
1/19/2023 0:00,12.541,0.1096
1/19/2023 6:00,12.726,0.0768
1/19/2023 12:00,13.263,0.1518
1/19/2023 18:00,13.013,0.1057
1/20/2023 0:00,12.487,0.0542
1/20/2023 6:00,12.741,0.0919
1/20/2023 12:00,13.241,0.1272
1/20/2023 18:00,12.961,0.0499
1/21/2023 0:00,12.472,0.0383
1/21/2023 6:00,12.694,0.0423
1/21/2023 12:00,13.226,0.1092
1/21/2023 18:00,12.948,0.0352
1/22/2023 0:00,12.491,0.0561
1/22/2023 6:00,12.707,0.0539
1/22/2023 12:00,13.195,0.0748
1/22/2023 18:00,12.915,-0.0022
1/23/2023 0:00,12.442,0.0048
1/23/2023 6:00,12.661,0.0047
1/23/2023 12:00,13.211,0.0852
1/23/2023 18:00,12.916,-0.0079
1/24/2023 0:00,12.411,-0.0281
1/24/2023 6:00,12.708,0.0462
1/24/2023 12:00,13.164,0.0309
1/24/2023 18:00,12.928,-0.0006
1/25/2023 0:00,12.466,0.0245
1/25/2023 6:00,12.805,0.1358
1/25/2023 12:00,13.324,0.1835
1/25/2023 18:00,13.068,0.1336
1/26/2023 0:00,12.606,0.1595
1/26/2023 6:00,12.868,0.1915
1/26/2023 12:00,13.437,0.287
1/26/2023 18:00,13.153,0.2113
1/27/2023 0:00,12.659,0.2066
1/27/2023 6:00,12.881,0.1987
1/27/2023 12:00,13.41,0.2501
1/27/2023 18:00,13.115,0.1629
1/28/2023 0:00,12.645,0.1852
1/28/2023 6:00,12.859,0.1666
1/28/2023 12:00,13.396,0.2255
1/28/2023 18:00,13.147,0.1819
1/29/2023 0:00,12.651,0.1812
1/29/2023 6:00,12.882,0.1779
1/29/2023 12:00,13.399,0.2171
1/29/2023 18:00,13.157,0.1831
1/30/2023 0:00,12.623,0.1447
1/30/2023 6:00,12.917,0.1997
1/30/2023 12:00,13.368,0.1747
1/30/2023 18:00,13.168,0.1819
1/31/2023 0:00,12.703,0.2122
1/31/2023 6:00,12.936,0.2039
1/31/2023 12:00,13.401,0.1958
1/31/2023 18:00,13.235,0.237
2/1/2023 0:00,12.742,0.2419
2/1/2023 6:00,12.956,0.2122
2/1/2023 12:00,13.388,0.1718
2/1/2023 18:00,13.195,0.1884
2/2/2023 0:00,12.688,0.1785
2/2/2023 6:00,12.854,0.101
2/2/2023 12:00,13.273,0.0445
2/2/2023 18:00,13.137,0.1194
2/3/2023 0:00,12.636,0.1163
2/3/2023 6:00,12.872,0.1088
2/3/2023 12:00,13.332,0.0912
2/3/2023 18:00,13.144,0.1138
2/4/2023 0:00,12.608,0.0785
2/4/2023 6:00,12.941,0.1678
2/4/2023 12:00,13.388,0.1376
2/4/2023 18:00,13.171,0.1287
2/5/2023 0:00,12.721,0.181
2/5/2023 6:00,13.061,0.2753
2/5/2023 12:00,13.491,0.2302
2/5/2023 18:00,13.341,0.2879
2/6/2023 0:00,12.893,0.342
2/6/2023 6:00,13.153,0.3558
2/6/2023 12:00,13.619,0.3476
2/6/2023 18:00,13.383,0.321
2/7/2023 0:00,12.92,0.3599
2/7/2023 6:00,13.148,0.3367
